NCPU,NGPU,N,NB,t
16,0,65536,128,661.928380
16,0,65536,128,642.785000
16,0,65536,128,637.643051
16,0,65536,128,656.293708
16,0,65536,128,657.398453
16,0,65536,256,428.746488
16,0,65536,256,428.895148
16,0,65536,256,428.393820
16,0,65536,256,428.856615
16,0,65536,256,428.707233
16,0,65536,512,393.801917
16,0,65536,512,393.306992
16,0,65536,512,393.252807
16,0,65536,512,393.469883
16,0,65536,512,393.180839
16,0,65536,1024,385.087531
16,0,65536,1024,384.991714
16,0,65536,1024,384.932076
16,0,65536,1024,385.135036
16,0,65536,1024,384.844092
16,0,65536,2048,372.338425
16,0,65536,2048,372.426499
16,0,65536,2048,372.452687
16,0,65536,2048,373.990835
16,0,65536,2048,375.391581
16,0,65536,4096,398.042310
16,0,65536,4096,389.102277
16,0,65536,4096,389.987118
16,0,65536,4096,389.341321
16,0,65536,4096,385.388019
