Id,Function,threads,gpus,P,Q,mtxfmt,nb,m,n,lda,seedA,bump,tsub,time,gflops,cfg
0,sgetrf_nopiv,16,1,1,1,0,16384,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,1.106393e+03,1.696033e+02,16
0,sgetrf_nopiv,7,1,1,1,0,16384,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,2.578089e+02,7.278563e+02,7+1
0,sgetrf_nopiv,16,1,1,1,0,8192,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,2.109741e+02,8.894355e+02,16
0,sgetrf_nopiv,7,1,1,1,0,512,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,4.844877e+01,3.873119e+03,7+1
0,sgetrf_nopiv,8,1,1,1,0,2048,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,1.090582e+01,1.720621e+04,8
0,sgetrf_nopiv,8,1,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,1.343388e+01,1.396825e+04,8
0,sgetrf_nopiv,16,1,1,1,0,8192,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,1.980479e+02,9.474872e+02,16
0,sgetrf_nopiv,15,1,1,1,0,8192,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,1.069677e+02,1.754248e+03,15+1
0,sgetrf_nopiv,15,1,1,1,0,8192,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,1.072721e+02,1.749269e+03,15+1
0,sgetrf_nopiv,15,1,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,8.534975e+00,2.198575e+04,15+1
0,sgetrf_nopiv,7,1,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,6.785603e+00,2.765382e+04,7+1
0,sgetrf_nopiv,8,1,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,1.355797e+01,1.384041e+04,8
0,sgetrf_nopiv,7,1,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,6.799049e+00,2.759913e+04,7+1
0,sgetrf_nopiv,7,1,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,6.863372e+00,2.734047e+04,7+1
0,sgetrf_nopiv,8,1,1,1,0,4096,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.021321e+01,6.210787e+03,8
0,sgetrf_nopiv,8,1,1,1,0,8192,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,8.372058e+01,2.241359e+03,8
0,sgetrf_nopiv,7,1,1,1,0,8192,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,6.088519e+01,3.081995e+03,7+1
0,sgetrf_nopiv,16,1,1,1,0,4096,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,5.285194e+01,3.550444e+03,16
0,sgetrf_nopiv,16,1,1,1,0,4096,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,5.116795e+01,3.667292e+03,16
